Source,Target,Type,Industry,search_word
controlling,budsjettarbeid,Undirected,Olje og gass,Business Analyst
controlling,analyser økonomiske data,Undirected,Olje og gass,Business Analyst
controlling,prognoser,Undirected,Olje og gass,Business Analyst
controlling,automatisering,Undirected,Olje og gass,Business Analyst
controlling,rapportering,Undirected,Olje og gass,Business Analyst
budsjettarbeid,analyser økonomiske data,Undirected,Olje og gass,Business Analyst
budsjettarbeid,prognoser,Undirected,Olje og gass,Business Analyst
budsjettarbeid,automatisering,Undirected,Olje og gass,Business Analyst
budsjettarbeid,rapportering,Undirected,Olje og gass,Business Analyst
analyser økonomiske data,prognoser,Undirected,Olje og gass,Business Analyst
analyser økonomiske data,automatisering,Undirected,Olje og gass,Business Analyst
analyser økonomiske data,rapportering,Undirected,Olje og gass,Business Analyst
prognoser,automatisering,Undirected,Olje og gass,Business Analyst
prognoser,rapportering,Undirected,Olje og gass,Business Analyst
automatisering,rapportering,Undirected,Olje og gass,Business Analyst
koordinere prosjekter og forbedringsaktiviteter for it - løsninger,dataanalyseverktøy,Undirected,Bank,Business Analyst
koordinere prosjekter og forbedringsaktiviteter for it - løsninger,microsoft excel,Undirected,Bank,Business Analyst
koordinere prosjekter og forbedringsaktiviteter for it - løsninger,prosessanalyse,Undirected,Bank,Business Analyst
koordinere prosjekter og forbedringsaktiviteter for it - løsninger,bygge datadashboard,Undirected,Bank,Business Analyst
dataanalyseverktøy,microsoft excel,Undirected,Bank,Business Analyst
dataanalyseverktøy,prosessanalyse,Undirected,Bank,Business Analyst
dataanalyseverktøy,bygge datadashboard,Undirected,Bank,Business Analyst
microsoft excel,prosessanalyse,Undirected,Bank,Business Analyst
microsoft excel,bygge datadashboard,Undirected,Bank,Business Analyst
prosessanalyse,bygge datadashboard,Undirected,Bank,Business Analyst
sap s/4hana,budsjettarbeid,Undirected,Olje og gass,Business Analyst
sap s/4hana,microsoft office,Undirected,Olje og gass,Business Analyst
sap s/4hana,prognoser,Undirected,Olje og gass,Business Analyst
sap s/4hana,power bi,Undirected,Olje og gass,Business Analyst
sap s/4hana,finansanalyse,Undirected,Olje og gass,Business Analyst
sap s/4hana,rapportering,Undirected,Olje og gass,Business Analyst
budsjettarbeid,microsoft office,Undirected,Olje og gass,Business Analyst
budsjettarbeid,power bi,Undirected,Olje og gass,Business Analyst
budsjettarbeid,finansanalyse,Undirected,Olje og gass,Business Analyst
microsoft office,prognoser,Undirected,Olje og gass,Business Analyst
microsoft office,power bi,Undirected,Olje og gass,Business Analyst
microsoft office,finansanalyse,Undirected,Olje og gass,Business Analyst
microsoft office,rapportering,Undirected,Olje og gass,Business Analyst
prognoser,power bi,Undirected,Olje og gass,Business Analyst
prognoser,finansanalyse,Undirected,Olje og gass,Business Analyst
power bi,finansanalyse,Undirected,Olje og gass,Business Analyst
power bi,rapportering,Undirected,Olje og gass,Business Analyst
finansanalyse,rapportering,Undirected,Olje og gass,Business Analyst
python (dataprogrammering),sql,Undirected,IT,Business Analyst
python (dataprogrammering),agile scrum,Undirected,IT,Business Analyst
python (dataprogrammering),databanksystemforståelse,Undirected,IT,Business Analyst
python (dataprogrammering),prosjektstyringsmetodikk,Undirected,IT,Business Analyst
python (dataprogrammering),it infrastructure library (itil),Undirected,IT,Business Analyst
python (dataprogrammering),prince 2 prosjektledelse metodikk,Undirected,IT,Business Analyst
sql,agile scrum,Undirected,IT,Business Analyst
sql,databanksystemforståelse,Undirected,IT,Business Analyst
sql,prosjektstyringsmetodikk,Undirected,IT,Business Analyst
sql,it infrastructure library (itil),Undirected,IT,Business Analyst
sql,prince 2 prosjektledelse metodikk,Undirected,IT,Business Analyst
agile scrum,databanksystemforståelse,Undirected,IT,Business Analyst
agile scrum,prosjektstyringsmetodikk,Undirected,IT,Business Analyst
