Source,Target,Type,Industry
455183416,automatisering,Undirected,Olje og gass
455183416,budsjettarbeid,Undirected,Olje og gass
455183416,controlling,Undirected,Olje og gass
455183416,prognoser,Undirected,Olje og gass
455183416,rapportering,Undirected,Olje og gass
455105673,bygge datadashboard,Undirected,Bank
455105673,dataanalyseverktøy,Undirected,Bank
455105673,microsoft excel,Undirected,Bank
455105673,prosessanalyse,Undirected,Bank
454757099,budsjettarbeid,Undirected,Olje og gass
454757099,finansanalyse,Undirected,Olje og gass
454757099,microsoft office,Undirected,Olje og gass
454757099,power bi,Undirected,Olje og gass
454757099,prognoser,Undirected,Olje og gass
454757099,rapportering,Undirected,Olje og gass
453920727,it infrastructure library (itil),Undirected,IT
453920727,python (dataprogrammering),Undirected,IT
453920727,sql,Undirected,IT
454087012,microsoft excel,Undirected,Industri og produksjon
454087012,rapportering,Undirected,Industri og produksjon
454087012,risikostyring,Undirected,Industri og produksjon
453620912,analysere data,Undirected,Bank
453620912,lage prediktive modeller,Undirected,Bank
453620912,maskinlæringsmetoder,Undirected,Bank
453620912,prognoser,Undirected,Bank
453620912,python (dataprogrammering),Undirected,Bank
453620912,sql,Undirected,Bank
453567955,finansanalyse,Undirected,Bank
453567955,mergers & acquisitions (m&a),Undirected,Bank
453567955,modellering (økonomi),Undirected,Bank
453567955,norsk,Undirected,Bank
453560423,analysere data,Undirected,Bank
453560423,bokføring,Undirected,Bank
453560423,controlling,Undirected,Bank
453560423,erp-systemer,Undirected,Bank
453560423,microsoft excel,Undirected,Bank
453560423,norsk,Undirected,Bank
453560423,prognoser,Undirected,Bank
453560423,rapportering,Undirected,Bank
453452310,markedsanalyse,Undirected,Konsulent og rådgivning
453452310,prosjekteringsledelse,Undirected,Konsulent og rådgivning
453411049,prosjekteringsledelse,Undirected,Bank
452679938,amazon web services (aws),Undirected,Bank
452679938,konsekvensanalyse,Undirected,Bank
452679938,sql,Undirected,Bank
452506297,analysere data,Undirected,Drift og vedlikeholdstjenester
452506297,behandle data,Undirected,Drift og vedlikeholdstjenester
452506297,kvalitetssikring av data,Undirected,Drift og vedlikeholdstjenester
452506297,microsoft excel,Undirected,Drift og vedlikeholdstjenester
452506297,power bi,Undirected,Drift og vedlikeholdstjenester
452506297,rapportering,Undirected,Drift og vedlikeholdstjenester
452506297,standardisere prosesser,Undirected,Drift og vedlikeholdstjenester
452394974,analyser av nøkkeltall,Undirected,Bank
452394974,budsjettarbeid,Undirected,Bank
452394974,finansiell planlegging og analyse,Undirected,Bank
452394974,finansiell rapportering,Undirected,Bank
452394974,likviditetsstyring,Undirected,Bank
452394974,mergers & acquisitions (m&a),Undirected,Bank
451456062,administrere data,Undirected,Butikk og varehandel
451456062,analyse av forretningsdata,Undirected,Butikk og varehandel
451456062,analysere data,Undirected,Butikk og varehandel
451456062,bygge datadashboard,Undirected,Butikk og varehandel
451456062,data modeling,Undirected,Butikk og varehandel
451456062,data warehouse,Undirected,Butikk og varehandel
451456062,microsoft excel,Undirected,Butikk og varehandel
451456062,sql,Undirected,Butikk og varehandel
450707758,kontinuerlig forbedringsarbeid,Undirected,Bank
450707758,kontinuerlig forbedringsprosess (cip),Undirected,Bank
450707758,kunnskap om teknologi,Undirected,Bank
450707758,teknologiledelse,Undirected,Bank
455227905,informatikk,Undirected,Forskning
455227905,programmeringsspråk,Undirected,Forskning
455227905,software engineering,Undirected,Forskning
455111046,linux,Undirected,Fiskeri og oppdrett
455111046,python (dataprogrammering),Undirected,Fiskeri og oppdrett
455111046,utvikle brukergrensesnitt,Undirected,Fiskeri og oppdrett
455105527,administrere data,Undirected,IT
455105527,analyse av forretningsdata,Undirected,IT
455105527,data modeling,Undirected,IT
455105527,datavitenskap,Undirected,IT
455105527,informasjonssikkerhet,Undirected,IT
455105527,informatikk,Undirected,IT
455105527,organisere data,Undirected,IT
455061915,moderne software-utvikling,Undirected,Forskning
455061915,programmeringsspråk,Undirected,Forskning
455061915,software engineering,Undirected,Forskning
454996213,dataanalyseverktøy,Undirected,IT
455033257,airflow,Undirected,Konsulent og rådgivning
455033257,data warehouse,Undirected,Konsulent og rådgivning
455033257,datastyring,Undirected,Konsulent og rådgivning
455033257,python (dataprogrammering),Undirected,Konsulent og rådgivning
455033257,snowflake,Undirected,Konsulent og rådgivning
455033257,sql,Undirected,Konsulent og rådgivning
454947877,dataanalyseverktøy,Undirected,Bank
454947877,python (dataprogrammering),Undirected,Bank
454947877,risikovurdering,Undirected,Bank
454901855,analysere data,Undirected,Offentlig administrasjon
454901855,datainnsamling og analyse,Undirected,Offentlig administrasjon
454901855,datavitenskap,Undirected,Offentlig administrasjon
454901855,internet of things,Undirected,Offentlig administrasjon
454733741,analyse av forretningsdata,Undirected,IT
454733741,analysere data,Undirected,IT
454733741,azure ad,Undirected,IT
454733741,dataarkitektur,Undirected,IT
454733741,maskinlæring,Undirected,IT
454733741,python (dataprogrammering),Undirected,IT
454733741,sql,Undirected,IT
454733741,statistikk,Undirected,IT
454561504,ci/cd (continuous integration and continuous delivery),Undirected,Internettbaserte tjenester
454561504,datavitenskap,Undirected,Internettbaserte tjenester
454561504,development of data pipelines,Undirected,Internettbaserte tjenester
454561504,maskinlæring,Undirected,Internettbaserte tjenester
454561504,mlops,Undirected,Internettbaserte tjenester
454096496,erp-systemer,Undirected,Olje og gass
454096496,logistikk,Undirected,Olje og gass
454095429,behersker root cause analysis,Undirected,Bil
454095429,kontinuerlig forbedringsarbeid,Undirected,Bil
454095429,kvalitetssikring,Undirected,Bil
454095429,kvalitetssikring av data,Undirected,Bil
454095429,microsoft excel,Undirected,Bil
454073027,maskinlæring,Undirected,Reise og turisme
454073027,mlops,Undirected,Reise og turisme
454073027,python (dataprogrammering),Undirected,Reise og turisme
454073027,pytorch,Undirected,Reise og turisme
454073027,scikit-learn,Undirected,Reise og turisme
454073027,sql,Undirected,Reise og turisme
454073027,tensorflow,Undirected,Reise og turisme
453941172,analysere data,Undirected,Elektronikk
453941172,ingeniørkunst,Undirected,Elektronikk
453941172,sikkerhetsklarering,Undirected,Elektronikk
453939539,analysere data,Undirected,IT
453939539,datavitenskap,Undirected,IT
453939539,maskinlæring,Undirected,IT
453939539,python (dataprogrammering),Undirected,IT
453939539,sql,Undirected,IT
453925958,azure ad,Undirected,IT
453925958,ci/cd (continuous integration and continuous delivery),Undirected,IT
453925958,data modeling,Undirected,IT
453925958,dataarkitektur,Undirected,IT
453925958,power bi,Undirected,IT
453925958,pyspark,Undirected,IT
453925958,python (dataprogrammering),Undirected,IT
453925958,sql,Undirected,IT
453770485,akvakultur,Undirected,Fiskeri og oppdrett
453770485,kunnskap om produktledelse,Undirected,Fiskeri og oppdrett
453770485,programvare som tjeneste,Undirected,Fiskeri og oppdrett
453770485,prosjekteringsledelse,Undirected,Fiskeri og oppdrett
453765668,analysere data,Undirected,Offentlig administrasjon
453765668,kvalitetssikring av data,Undirected,Offentlig administrasjon
453765668,programmeringsspråk,Undirected,Offentlig administrasjon
453765668,statistikk,Undirected,Offentlig administrasjon
453752913,a/b-testing (konverteringsoptimalisering),Undirected,IT - programvare
453752913,analysere data,Undirected,IT - programvare
453752913,apache spark,Undirected,IT - programvare
