Source,Target,Type,Industry
prognoser,rapportering,Undirected,Olje og gass
prognoser,budsjettarbeid,Undirected,Olje og gass
prognoser,automatisering,Undirected,Olje og gass
prognoser,controlling,Undirected,Olje og gass
prognoser,analyser økonomiske data,Undirected,Olje og gass
rapportering,budsjettarbeid,Undirected,Olje og gass
rapportering,automatisering,Undirected,Olje og gass
rapportering,controlling,Undirected,Olje og gass
rapportering,analyser økonomiske data,Undirected,Olje og gass
budsjettarbeid,automatisering,Undirected,Olje og gass
budsjettarbeid,controlling,Undirected,Olje og gass
budsjettarbeid,analyser økonomiske data,Undirected,Olje og gass
automatisering,controlling,Undirected,Olje og gass
automatisering,analyser økonomiske data,Undirected,Olje og gass
controlling,analyser økonomiske data,Undirected,Olje og gass
koordinere prosjekter og forbedringsaktiviteter for it - løsninger,dataanalyseverktøy,Undirected,Bank
koordinere prosjekter og forbedringsaktiviteter for it - løsninger,bygge datadashboard,Undirected,Bank
koordinere prosjekter og forbedringsaktiviteter for it - løsninger,prosessanalyse,Undirected,Bank
koordinere prosjekter og forbedringsaktiviteter for it - løsninger,microsoft excel,Undirected,Bank
dataanalyseverktøy,bygge datadashboard,Undirected,Bank
dataanalyseverktøy,prosessanalyse,Undirected,Bank
dataanalyseverktøy,microsoft excel,Undirected,Bank
bygge datadashboard,prosessanalyse,Undirected,Bank
bygge datadashboard,microsoft excel,Undirected,Bank
prosessanalyse,microsoft excel,Undirected,Bank
sap s/4hana,prognoser,Undirected,Olje og gass
sap s/4hana,rapportering,Undirected,Olje og gass
sap s/4hana,budsjettarbeid,Undirected,Olje og gass
sap s/4hana,power bi,Undirected,Olje og gass
sap s/4hana,finansanalyse,Undirected,Olje og gass
sap s/4hana,microsoft office,Undirected,Olje og gass
prognoser,power bi,Undirected,Olje og gass
prognoser,finansanalyse,Undirected,Olje og gass
prognoser,microsoft office,Undirected,Olje og gass
rapportering,power bi,Undirected,Olje og gass
rapportering,finansanalyse,Undirected,Olje og gass
rapportering,microsoft office,Undirected,Olje og gass
budsjettarbeid,power bi,Undirected,Olje og gass
budsjettarbeid,finansanalyse,Undirected,Olje og gass
