Finn_code,Skill
452506297,Analysere data
452506297, Behandle data
452506297, Gode norsk- og engelskkunnskaper
452506297, kvalitetssikring av data
452506297, Microsoft Excel
452506297, Power BI
452506297, Rapportering
452506297, Standardisere prosesser
453452310,Due Diligence
453452310, Forretningsstrategiplaner
453452310, Håndtere fusjoner og oppkjøp
453452310, Markedsanalyse
453452310, Prosjekteringsledelse
453411049,Behov og kravsanalyse
453411049, Planlegge software-testing
453411049, Prosjekteringsledelse
452394974,Analyser av nøkkeltall
452394974, Budsjettarbeid
452394974, Budsjettarbeid
452394974, Finansiell planlegging og analyse
452394974, Finansiell rapportering
452394974, Likviditetsstyring
452394974, Mergers & Acquisitions (M&A)
452394974, Treasury/Risk Management (FI-FSCM-TRM)
451456062,Administrere data
451456062, Analyse av forretningsdata
451456062, Analysere data
451456062, Bygge datadashboard
451456062, Data Modeling
451456062, Data Warehouse
451456062, Microsoft Excel
451456062, SQL
452679938,Amazon Web Services (AWS)
452679938, Business-analyse
452679938, Konsekvensanalyse
452679938, SQL
453620912,Analysere data
453620912, Lage prediktive modeller
453620912, Maskinlæringsmetoder
453620912, Prognoser
453620912, Python (dataprogrammering)
453620912, SQL
453620912, Statistisk modellering
453560423,Analysere data
453560423, Bokføring
453560423, Controlling
453560423, ERP-systemer
453560423, Microsoft Excel
453560423, Norsk
453560423, Prognoser
453560423, Rapportering
453920727,Agile Scrum
453920727, Databanksystemforståelse
453920727, IT Infrastructure Library (ITIL)
453920727, Prince 2 prosjektledelse metodikk
453920727, Prosjektstyringsmetodikk
453920727, Python (dataprogrammering)
453920727, SQL
454087012,Microsoft Excel
454087012, Microsoft Power Point 2011
454087012, Rapportering
454087012, Risikostyring
453567955,Corporate Finance
453567955, Finansanalyse
453567955, Mergers & Acquisitions (M&A)
453567955, Modellering (økonomi)
453567955, Norsk
453567955, Teknikker for virksomhetsverdsetting
450707758,Kontinuerlig forbedringsarbeid
450707758, Kontinuerlig forbedringsprosess (CIP)
450707758, Kunnskap om teknologi
450707758, Teknologiledelse
