Source,Target,Type,Industry
j1,s1,Undirected,Konsulent
j1,s2,Undirected,Konsulent
j1,s3,Undirected,Konsulent
j1,s4,Undirected,Konsulent
j1,s5,Undirected,Konsulent
j2,s6,Undirected,Bank
j2,s7,Undirected,Bank
j2,s8,Undirected,Bank
j2,s9,Undirected,Bank
j2,s10,Undirected,Bank
j2,s11,Undirected,Bank
j2,s12,Undirected,Bank
j3,s13,Undirected,Bank
j3,s14,Undirected,Bank
j3,s5,Undirected,Bank
j4,s15,Undirected,Bank
j4,s16,Undirected,Bank
j4,s17,Undirected,Bank
j4,s18,Undirected,Bank
j4,s19,Undirected,Bank
j4,s20,Undirected,Bank
j4,s21,Undirected,Bank
j5,s22,Undirected,Butikk
j5,s23,Undirected,Butikk
j5,s15,Undirected,Butikk
j5,s24,Undirected,Butikk
j5,s25,Undirected,Butikk
j5,s26,Undirected,Butikk
j5,s27,Undirected,Butikk
j5,s20,Undirected,Butikk
j6,s15,Undirected,Drift
j6,s28,Undirected,Drift
j6,s29,Undirected,Drift
j6,s30,Undirected,Drift
j6,s27,Undirected,Drift
j6,s31,Undirected,Drift
j6,s32,Undirected,Drift
j6,s33,Undirected,Drift
j7,s34,Undirected,Bank
j7,s35,Undirected,Bank
j7,s36,Undirected,Bank
j7,s20,Undirected,Bank
j8,s37,Undirected,Bank
j8,s38,Undirected,Bank
j8,s11,Undirected,Bank
j8,s39,Undirected,Bank
j8,s40,Undirected,Bank
j8,s41,Undirected,Bank
j9,s27,Undirected,Industri
j9,s42,Undirected,Industri
j9,s32,Undirected,Industri
j9,s43,Undirected,Industri
j10,s44,Undirected,IT
j10,s45,Undirected,IT
j10,s46,Undirected,IT
j10,s47,Undirected,IT
j10,s48,Undirected,IT
j10,s19,Undirected,IT
j10,s20,Undirected,IT
j11,s7,Undirected,Olje
j11,s38,Undirected,Olje
j11,s49,Undirected,Olje
j11,s31,Undirected,Olje
j11,s18,Undirected,Olje
j11,s32,Undirected,Olje
j11,s50,Undirected,Olje
j13,s51,Undirected,Bank
j13,s52,Undirected,Bank
j13,s53,Undirected,Bank
j13,s54,Undirected,Bank
j14,s15,Undirected,Bank
j14,s55,Undirected,Bank
j14,s56,Undirected,Bank
j14,s57,Undirected,Bank
j14,s27,Undirected,Bank
j14,s40,Undirected,Bank
j14,s18,Undirected,Bank
j14,s32,Undirected,Bank
