Finn_code,Industry
455183416,Olje og gass
455105673,Bank
454757099,Olje og gass
453920727,IT
454087012,Industri og produksjon
453620912,Bank
453567955,Bank
453560423,Bank
453452310,Konsulent og rådgivning
453411049,Bank
452679938,Bank
452506297,Drift og vedlikeholdstjenester
452394974,Bank
451519706,Bank
451456062,Butikk og varehandel
450707758,Bank
455227905,Forskning
455111046,Fiskeri og oppdrett
455105527,IT
455061915,Forskning
454996213,IT
455033257,Konsulent og rådgivning
454947877,Bank
454901855,Offentlig administrasjon
454733741,IT
454561504,Internettbaserte tjenester
454096496,Olje og gass
454095429,Bil
454073027,Reise og turisme
453941172,Elektronikk
453939539,IT
453925958,IT
453770485,Fiskeri og oppdrett
453765668,Offentlig administrasjon
453752913,IT - programvare
453755192,Medisinsk utstyr og rekvisita
453723290,Farmasi og legemiddel
453587435,Forskning
453446521,Bank
453440546,Bank
453434829,IT
453427835,Olje og gass
453421623,IT
453006556,IT
453082134,Forskning
452937651,Forskning
452822200,Forsvar og militær
452818898,Maritim og offshore
452813728,Forsvar og militær
452809786,n vi opererer i endres raskere enn noen gang
452796363,Forsvar og militær
452693254,Elektronikk
452656412,Butikk og varehandel
452642509,Bank
452636354,Bank
452598170,Olje og gass
452530753,Bank
452390550,Arbeidstaker- og arbeidsgiverorganisasjoner
452354224,IT
452342221,IT
451907357,IT
451602665,Annet
451620651,Helse og omsorg
451611537,IT - maskinvare
451319885,Helse og omsorg
450430257,Annet
450293124,Forskning
449676260,Industri og produksjon
449672760,Forsvar og militær
449624777,Eiendom
449432309,Internettbaserte tjenester
449317369,Forskning
449262663,IT
449208259,Annet
455205741,Bygg og anlegg
454941356,Industri og produksjon
454936072,Industri og produksjon
454925447,Internettbaserte tjenester
454582307,Farmasi og legemiddel
454086939,IT - programvare
454072503,IT - programvare
452689955,Industri og produksjon
453408385,Kraft og energi
452394981,Annet
452348521,Bank
451807679,Transport og logistikk
450455984,IT - programvare
450455377,IT
450432230,Internettbaserte tjenester
448720710,Olje og gass
455216208,Bygg og anlegg
455087448,IT
455082574,Annet
455051348,Internettbaserte tjenester
454942526,IT
454939246,IT
454882043,IT - programvare
454793708,Internettbaserte tjenester
454777694,Butikk og varehandel
454753202,Industri og produksjon
454752898,Industri og produksjon
454752652,Industri og produksjon
454734559,Bank
454731329,IT
