Job_title,Company,Skills,Sector,Location,Industry,Position,Keywords,Finn_code
Financial Analyst,ConocoPhillips,"Analyser økonomiske data, Automatisering, Budsjettarbeid, Budsjettarbeid, Controlling, Prognoser, Rapportering, ",Privat,4068 Stavanger,Olje og gass,Annet,"Finance & Accounting,Financial Planning & Analysis",455183416
Business Analyst/ Business Developer,Gjensidige Pensjon,"Bygge datadashboard, Dataanalyseverktøy, Koordinere prosjekter og forbedringsaktiviteter for IT - løsninger, Microsoft Excel, Prosessanalyse",Privat,"Schweigaards gate 15, 0191 Oslo","Bank, finans og forsikring","Analyse, Forretningsutvikling og strategi, Prosjektledelse","Business Transformation, Business Analyst, AI, Power BI, Digitalisering ",455105673
Cost analyst,Hytech Norse Offshore AS,"Budsjettarbeid, Finansanalyse, Microsoft Office, Power BI, Prognoser, Rapportering, SAP S/4HANA",Privat,4050 Sola,Olje og gass,Kontor og administrasjon,"Hytech, Offshore, Cost Analysis",454757099
Graduates 2026,CGI Norge,"Agile Scrum, Databanksystemforståelse, IT Infrastructure Library (ITIL), Prince 2 prosjektledelse metodikk, Prosjektstyringsmetodikk, Python (dataprogrammering), SQL",Privat,"Sundtkvartalet, 0187 Oslo","IT, Konsulent og rådgivning","Konsulent, Utvikler (generell)","It-konsulent, graduate program, konsulentselskap, mentorordning, teknologi",453920727
Risk Analyst,Norsk Hydro ASA,"Microsoft Excel, Microsoft Power Point 2011, Rapportering, Risikostyring",Privat,0283 Oslo,"Industri og produksjon, Metaller og mineraler",Analyse,,454087012
Data Analyst,Pra Group Europe,"Analysere data, Lage prediktive modeller, Maskinlæringsmetoder, Prognoser, Python (dataprogrammering), SQL, Statistisk modellering",Privat,"Oslo, 0191 Oslo","Bank, finans og forsikring, IT - programvare, Økonomi og regnskap","AI / Maskinlæring, Analyse, Økonomi og regnskap","Portfolio & Decision Support, Machine Learning & Predictive Models, Investment analysis, Python & SQL, Data Analysis & Modelling ",453620912
"Analyst, Corporate Finance & ECM",Nordea,"Corporate Finance, Finansanalyse, Mergers & Acquisitions (M&A), Modellering (økonomi), Norsk, Teknikker for virksomhetsverdsetting",Privat,"Essendrops gate 7, 0368 Oslo","Bank, finans og forsikring",Analyse,,453567955
Controller,Kongsberg Defence & Aerospace - Defence Systems,"Analysere data, Bokføring, Controlling, ERP-systemer, Microsoft Excel, Norsk, Prognoser, Rapportering",Privat,"Kirkegårdsveien 45, 3616 Kongsberg","Bank, finans og forsikring, Forsvar og militær",Controller,"Controller, finans, kongsberg, forsvar",453560423
Business Analyst,Kongsberg Maritime,"Due Diligence, Forretningsstrategiplaner, Håndtere fusjoner og oppkjøp, Markedsanalyse, Prosjekteringsledelse",Privat,6009 Ålesund,"Konsulent og rådgivning, Maritim og offshore, Økonomi og regnskap","Analyse, Forretningsutvikling og strategi, Prosjektledelse","Forretningsanalytiker, markedsanalyse, strategiutvikling, dataanalyse",453452310
Testleder / Business Analyst,KLP Teknologi,"Behov og kravsanalyse, Planlegge software-testing, Prosjekteringsledelse",Privat,0191 Oslo,"Bank, finans og forsikring, IT","Analyse, Kvalitetssikring","IT, Forsikring, testledelse, business analyst, utvikling",453411049
Risk Data Analyst,Santander Consumer Bank Nordics,"Amazon Web Services (AWS), Business-analyse, Konsekvensanalyse, SQL, ",Privat,"Strandveien, 1366 Lysaker","Bank, finans og forsikring",Ledelse,"Interest Rate Risk (IRR) Management (Working Knowledge), Teamwork (Working Knowledge), Liquidity Risk Management (Working Knowledge), Market Risk (Working Knowledge), Derivatives (Working Knowledge), Managing Multiple Priorities (Working Knowledge), Asset and Liability Management (ALM) (Working Knowledge), Analytical Thinking (Working Knowledge), Cross-Team Integration (Working Knowledge), Planning and Organizing (Working Knowledge), Communicating Complex Concepts (Working Knowledge), Internal Controls (Working Knowledge)",452679938
